Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Polska,142,8435,1.68%,12.38
Wielka Brytania,5,77,6.49%,7.88
Niemcy,4,125,3.2%,7.5
Holandia,2,48,4.17%,6.79
Hiszpania,1,18,5.56%,6.78
Norwegia,1,17,5.88%,9.82
Szwajcaria,1,13,7.69%,13.85
Rumunia,1,2,50%,24
Stany Zjednoczone,0,75,0%,10.85
Chorwacja,0,16,0%,6
Włochy,0,16,0%,11.81
Francja,0,13,0%,13.85
Austria,0,12,0%,10.5
Brazylia,0,11,0%,4.82
Kanada,0,9,0%,14.89
Filipiny,0,8,0%,37
Grecja,0,7,0%,14.71
Indie,0,7,0%,22.86
Belgia,0,6,0%,7.33
Irlandia,0,6,0%,8
Słowacja,0,6,0%,12
Korea Południowa,0,6,0%,16.67
Indonezja,0,6,0%,17
Chiny,0,5,0%,5.8
Czechy,0,5,0%,6.6
Szwecja,0,5,0%,7.2
Australia,0,5,0%,10.2
Turcja,0,5,0%,11.2
Dania,0,4,0%,7
Egipt,0,4,0%,15
Argentyna,0,4,0%,15.5
Ukraina,0,4,0%,16.25
Wietnam,0,4,0%,33.5
Islandia,0,3,0%,6
Japonia,0,3,0%,7.67
Bangladesz,0,3,0%,10
Hongkong,0,3,0%,11
Tunezja,0,3,0%,14.33
Meksyk,0,3,0%,14.67
Tajlandia,0,3,0%,28.33
Rosja,0,3,0%,37.67
Finlandia,0,2,0%,6.5
Słowenia,0,2,0%,8.5
Bułgaria,0,2,0%,10
Węgry,0,2,0%,10.5
Kolumbia,0,2,0%,19.5
Nigeria,0,2,0%,28.5
Republika Południowej Afryki,0,1,0%,2
Albania,0,1,0%,7
Cypr,0,1,0%,9
Kenia,0,1,0%,9
Czarnogóra,0,1,0%,10
Portugalia,0,1,0%,10
Mołdawia,0,1,0%,11
Bhutan,0,1,0%,12
Wenezuela,0,1,0%,18
Maroko,0,1,0%,24
Pakistan,0,1,0%,27
