Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-06-16,0,0,,
2026-06-17,0,0,,
2026-06-18,0,3,0%,35.3
2026-06-19,0,2,0%,35.5
2026-06-20,0,2,0%,52.5
2026-06-21,0,1,0%,42
2026-06-22,0,4,0%,7
2026-06-23,0,1,0%,11
2026-06-24,0,0,,
2026-06-25,1,2,50%,14.5
2026-06-26,0,2,0%,24.5
2026-06-27,0,1,0%,40
2026-06-28,1,8,12.5%,27.9
2026-06-29,1,5,20%,2.6
2026-06-30,0,4,0%,7.5
2026-07-01,0,3,0%,15.3
2026-07-02,0,5,0%,19
2026-07-03,0,2,0%,32.5
2026-07-04,0,4,0%,22.5
2026-07-05,0,10,0%,3.8
2026-07-06,0,12,0%,13.8
2026-07-07,1,10,10%,9
2026-07-08,0,14,0%,9.1
2026-07-09,0,15,0%,9.7
2026-07-10,1,35,2.86%,8.5
2026-07-11,0,26,0%,10
2026-07-12,1,44,2.27%,12
2026-07-13,2,40,5%,8.2
2026-07-14,2,22,9.09%,9.3
2026-07-15,2,35,5.71%,13.9
2026-07-16,2,41,4.88%,8.4
2026-07-17,1,24,4.17%,7.8
2026-07-18,1,39,2.56%,8.1
2026-07-19,1,57,1.75%,10.2
2026-07-20,1,78,1.28%,10.1
2026-07-21,2,101,1.98%,10.9
2026-07-22,3,76,3.95%,13
2026-07-23,4,99,4.04%,12.5
2026-07-24,0,80,0%,11.2
2026-07-25,1,78,1.28%,10.7
2026-07-26,1,89,1.12%,11.3
2026-07-27,2,112,1.79%,12.6
2026-07-28,3,144,2.08%,12.7
2026-07-29,1,121,0.83%,12.9
2026-07-30,5,158,3.16%,14.5
2026-07-31,1,145,0.69%,13.7
2026-08-01,4,165,2.42%,12.3
2026-08-02,2,207,0.97%,13.5
2026-08-03,5,237,2.11%,11
2026-08-04,12,205,5.85%,11.3
2026-08-05,6,239,2.51%,10.8
2026-08-06,1,183,0.55%,11.4
2026-08-07,3,190,1.58%,11.6
2026-08-08,6,169,3.55%,12.7
2026-08-09,1,166,0.6%,15.4
2026-08-10,5,153,3.27%,10.5
2026-08-11,2,222,0.9%,14.2
2026-08-12,2,219,0.91%,13.6
2026-08-13,2,208,0.96%,15.1
2026-08-14,1,160,0.62%,17.5
2026-08-15,1,131,0.76%,13.5
2026-08-16,1,159,0.63%,12.6
2026-08-17,5,224,2.23%,10.6
2026-08-18,2,255,0.78%,10.3
2026-08-19,7,231,3.03%,10.3
2026-08-20,5,241,2.07%,10.1
2026-08-21,3,252,1.19%,11.3
2026-08-22,5,284,1.76%,11.8
2026-08-23,4,397,1.01%,12.4
2026-08-24,8,499,1.6%,12.2
2026-08-25,7,463,1.51%,12
2026-08-26,6,493,1.22%,13.1
2026-08-27,7,457,1.53%,12
2026-08-28,3,468,0.64%,13.4
